,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
127,128,Rhamondre Stevenson,RB44,NE,14,0,0,0,419,4.1,28,251,1.4,128.3,19,0
128,129,Robert Tonyan,TE13,GB,13,0,0,0,0,0,49,540,5.4,135,18.3,0
129,130,Damien Williams,RB45,CHI,10,0,0,0,370,1.9,40,275,2,127.4,18.1,0
130,131,Tua Tagovailoa,QB18,MIA,14,3999,23.6,11.6,178,2.6,1,9,0.2,267.5,17.9,0
131,132,Evan Engram,TE14,NYG,10,0,0,0,8,0.2,52,643,2.7,134.2,17.5,0
132,133,Elijah Moore,WR56,NYJ,6,0,0,0,46,0.2,58,699,4.1,157.9,17.2,0
133,134,Austin Hooper,TE15,CLE,13,0,0,0,0,0,50,513,5.1,132,15.6,0
134,135,Mike Gesicki,TE16,MIA,14,0,0,0,0,0,45,574,4.6,130.4,14.1,0
135,135,Michael Carter,RB46,NYJ,6,0,0,0,553,3.1,26,198,0.6,123.4,14.1,0
136,135,Trey Lance,QB19,SF,6,2738,17.6,8.5,624,5.7,1,13,0.2,262.7,14.1,0
137,138,Jameis Winston,QB20,NO,6,3828,25.6,12.7,193,2.1,0,0,0,262,13.5,0
138,139,Mac Jones,QB21,NE,14,4248,24.1,13.2,100,1.9,0,0,0,261.3,13,0
139,140,Tony Pollard,RB47,DAL,7,0,0,0,490,3.9,25,182,1,122,12.7,0
140,141,Tony Jones Jr.,RB48,NO,6,0,0,0,491,3.8,26,195,0.8,121.9,12.6,0
141,142,Daniel Jones,QB22,NYG,10,3692,23,11.1,326,1.6,0,0,0,259.7,11.7,0
142,143,Tampa Bay Buccaneers,DST1,TB,9,--,--,--,--,--,--,--,--,128.2,10.6,0
143,143,Ty'Son Williams,RB49,BAL,8,0,0,0,507,3.6,23,181,1.1,119.9,10.6,0
144,145,Marquez Callaway,WR57,NO,6,0,0,0,25,0,51,710,4.3,150,9.3,0
145,146,Rob Gronkowski,TE17,TB,9,0,0,0,0,0,44,518,4.7,124.4,8.7,0
146,147,Jared Cook,TE18,LAC,7,0,0,0,0,0,48,520,4,124.3,8.6,0
147,147,Hayden Hurst,TE18,ATL,6,0,0,0,0,0,50,576,2.8,124.3,8.6,0
148,149,Denver Broncos,DST2,DEN,11,--,--,--,--,--,--,--,--,122.9,8,0
149,149,Jakobi Meyers,WR58,NE,14,0,0,0,20,0.2,57,705,3,148.7,8,0
150,151,Russell Gage,WR59,ATL,6,0,0,0,14,0.1,56,685,3.7,148.2,7.5,0
151,152,Harrison Butker,K1,KC,12,--,--,--,--,--,--,--,--,143.4,7.3,0
152,153,Gerald Everett,TE20,SEA,9,0,0,0,2,0,47,470,4.8,122.6,7.1,0
153,154,DeVante Parker,WR60,MIA,14,0,0,0,18,0.1,55,680,3.7,147.7,7,0
154,155,Darrel Williams,RB50,KC,12,0,0,0,358,3.2,31,228,1.2,116,6.7,0
155,156,Phillip Lindsay,RB51,HOU,10,0,0,0,571,3.6,19,137,0.7,115.7,6.4,0
156,157,Baltimore Ravens,DST3,BAL,8,--,--,--,--,--,--,--,--,119.5,6.3,0
157,158,Miami Dolphins,DST4,MIA,14,--,--,--,--,--,--,--,--,119.4,6.2,0
158,158,San Francisco 49ers,DST4,SF,6,--,--,--,--,--,--,--,--,119.4,6.2,0
159,160,Ryan Succop,K2,TB,9,--,--,--,--,--,--,--,--,140.5,5.9,0
160,160,Greg Zuerlein,K2,DAL,7,--,--,--,--,--,--,--,--,140.5,5.9,0
161,162,Washington Football Team,DST6,WAS,9,--,--,--,--,--,--,--,--,118.4,5.7,0
162,162,Daniel Carlson,K4,LV,8,--,--,--,--,--,--,--,--,140.2,5.7,0
163,162,Mike Williams,WR61,LAC,7,0,0,0,4,0,44,697,5.4,146.4,5.7,0
164,165,Younghoe Koo,K5,ATL,6,--,--,--,--,--,--,--,--,139.8,5.5,0
165,166,Sterling Shepard,WR62,NYG,10,0,0,0,17,0.3,55,599,4.6,146.1,5.4,0
166,167,Justin Fields,QB23,CHI,10,3017,18.5,9.9,511,4,0,8,0.1,251.7,5.3,0
167,168,New England Patriots,DST7,NE,14,--,--,--,--,--,--,--,--,117.3,5.2,0
